"","CD_MUN","NM_MUN","AREA_KM2","GDP","GDPperCap","AnimProd","MilkProd","SUM_REST","PercRest","Crop_value_thousand_reais","Tree_extraction_value_thousand_reais","Cattle_heads","population_2021","Forest_2011","Other_natural_vegetation_2011","Farming_2011","Forest_perc_2011","Othernature_perc_2011","Nat_veg_total_perc_2011","Farming_perc_2011"
"160",2928802,"Santo Estêvão",360.334,736866,13943,986,376,7747,1.87779,2682,0,12420,53666,4267.264178,0.349420807,29261.27199,0.118422299,9.6969e-06,0.118431996,0.812039505
"161",2929008,"São Félix",103.226,170351,11557,415,332,1779,1.50385,1797,42,4409,14784,1672.028128,NA,8383.263054,0.161954843,0,0.161954843,0.812013883
"162",2929107,"São Felipe",222.407,198103,9400,856,380,2722,1.06745,8019,2,15272,21083,2055.674712,NA,20057.63207,0.092430541,0,0.092430541,0.9018634
"163",2929305,"São Gonçalo dos Campos",294.768,987191,26290,3903,1363,7606,2.25414,3445,34,15734,38315,3695.538555,1.485402985,23861.84216,0.125369319,5.03916e-05,0.125419711,0.809501203
"164",2929354,"São José da Vitória",127.925,53078,9383,409,382,1223,0.826011,NA,NA,2193,5562,9531.366179,NA,3232.395852,0.745072674,0,0.745072674,0.252678344
"165",2929404,"São Miguel das Matas",230.906,135507,11607,984,279,3150,1.18885,9276,110,12780,11733,3517.363927,NA,19445.18811,0.152328459,0,0.152328459,0.842123702
"166",2929602,"Sapeaçu",131.218,166854,9590,13585,616,1128,0.75005,1642,38,7992,17421,713.2850846,NA,12275.8747,0.054354845,0,0.054354845,0.935465053
"167",2929909,"Seabra",2402.17,548878,12449,3925,2181,21181,0.770293,7457,2025,16723,44370,159749.6135,6262.169597,72751.99223,0.665021699,0.026068787,0.691090486,0.302859284
"168",2931004,"Tanhaçu",1277.514,193124,9465,4309,4036,23153,1.57228,7833,696,34350,20383,34776.22852,36.89572228,91976.77795,0.27221891,0.00028881,0.272507719,0.719969338
"169",2931202,"Taperoá",454.081,178538,8472,36,4,15714,3.00946,1245,694,814,15505,30243.54138,41.13717881,14568.52099,0.666034486,0.000905938,0.666940424,0.320833373
"170",2931202,"Taperoá",454.081,178538,8472,36,4,15714,3.00946,1245,694,814,21421,30243.54138,41.13717881,14568.52099,0.666034486,0.000905938,0.666940424,0.320833373
"171",2931608,"Teolândia",289.782,182460,12210,152,64,8764,2.6301,2544,NA,1718,15097,14009.04609,NA,14948.12219,0.483394598,0,0.483394598,0.515798254
"172",2931806,"Tremedal",2010.316,124164,7574,6276,5314,86211,3.70552,2054,279,35000,15996,125277.0018,19.53904128,75354.47509,0.623164394,9.71929e-05,0.623261587,0.374835167
"173",2932101,"Ubaíra",659.138,197125,9908,2826,2374,10995,1.45238,483,463,21919,19860,33014.03477,NA,32797.06021,0.500906218,0,0.500906218,0.497614166
"174",2932200,"Ubaitaba",181.102,220066,11548,1258,1233,1131,0.541573,551,NA,6480,18647,11013.61307,0.086693097,6794.950617,0.608199594,4.78741e-06,0.608204381,0.375234374
"175",2932309,"Ubatã",177.643,201884,7468,493,480,4196,2.04952,137,NA,3303,27481,9996.595114,NA,7604.081728,0.562694973,0,0.562694973,0.428023594
"176",2932507,"Una",1126.733,268693,14140,660,535,8011,0.613912,3133,135,6704,18108,88710.23595,1634.409296,20903.4713,0.788932694,0.014535402,0.803468095,0.185902244
"177",2932705,"Uruçuca",510.098,236174,11510,896,844,6275,1.06552,759,17,2982,20312,43139.57173,51.02347112,7598.7923,0.84635223,0.001001026,0.847353256,0.149080173
"178",2932903,"Valença",1123.975,1578447,16346,958,419,38774,3.00273,11355,1304,6551,97873,59422.17929,2947.701507,45993.75305,0.528950214,0.026239148,0.555189362,0.409416245
"179",2932903,"Valença",1123.975,1578447,16346,958,419,38774,3.00273,11355,1304,6551,77202,59422.17929,2947.701507,45993.75305,0.528950214,0.026239148,0.555189362,0.409416245
"180",2933174,"Varzedo",221.399,106359,12034,607,167,2511,0.988703,2689,4,13806,8734,4454.790825,NA,17584.98017,0.201208496,0,0.201208496,0.794256689
"181",2933307,"Vitória da Conquista",3254.186,7263729,21460,49009,36520,46677,1.23956,12892,335,133376,343643,132627.9527,4.32307215,186465.1708,0.407554083,1.32844e-05,0.407567368,0.57299114
"182",2933505,"Wenceslau Guimarães",655.057,269079,12752,306,111,12849,1.70539,4181,47,8593,20862,35402.54999,0.956244061,30045.6425,0.540440943,1.45976e-05,0.54045554,0.45866457
