"","CD_MUN","NM_MUN","AREA_KM2","GDP","GDPperCap","AnimProd","MilkProd","SUM_REST","PercRest","Crop_value_thousand_reais","Tree_extraction_value_thousand_reais","Cattle_heads","population_2021","Forest_2011","Other_natural_vegetation_2011","Farming_2011","Forest_perc_2011","Othernature_perc_2011","Nat_veg_total_perc_2011","Farming_perc_2011"
"92",2917409,"Jacaraci",1332.42,111063,7483,4059,3024,10705,0.695076,1969,318,24082,14855,82929.56398,2267.514143,47824.59786,0.622407571,0.017018273,0.639425844,0.358935829
"93",2917607,"Jaguaquara",924.512,582158,10697,2466,2253,12792,1.20338,11932,354,31490,54913,29883.14781,NA,61640.31738,0.323230899,0,0.323230899,0.666732145
"94",2917805,"Jaguaripe",863.424,179682,9564,463,68,13763,1.38874,9914,649,7547,19162,42297.42366,6738.46826,32043.89255,0.48995546,0.078055565,0.568011025,0.371182894
"95",2918001,"Jequié",2969.039,2692500,17263,5603,4725,70490,2.06208,7092,466,50120,156277,157945.5031,188.6553766,132463.613,0.531975299,0.000635409,0.532610708,0.446149899
"96",2918209,"Jiquiriçá",238.602,117538,8085,313,118,6077,2.21711,553,149,5075,14576,11028.15695,NA,12788.42466,0.46208072,0,0.46208072,0.535836088
"97",2918308,"Jitaúna",262.05,148674,13315,2314,2156,6568,2.17615,3511,47,7815,10470,16766.67974,NA,9345.576678,0.639824104,0,0.639824104,0.356631445
"98",2918555,"Jussari",329.19,59644,10225,2094,2090,3521,0.923871,82,NA,24743,5706,13575.40391,NA,19296.75182,0.412392891,0,0.412392891,0.58619569
"99",2918605,"Jussiape",589.763,59060,9547,2874,2723,7792,1.14929,1039,151,7575,5777,33331.8297,6783.354311,18644.72953,0.56517777,0.11501922,0.680196991,0.316141861
"100",2918704,"Lafaiete Coutinho",498.11,43509,11683,14351,4982,5365,0.936421,2169,56,14995,3663,14198.85058,4.954683838,35533.97602,0.285054642,9.94697e-05,0.285154112,0.713376394
"101",2918753,"Lagoa Real",912.222,96846,6182,6801,6111,13001,1.23694,412,84,17259,15870,55906.13479,699.1505853,34496.728,0.612833849,0.007663974,0.620497822,0.378147455
"102",2918803,"Laje",449.834,250733,10517,817,372,4975,0.963494,32521,203,18996,24214,8230.551258,3.745374152,36614.24818,0.182991312,8.32716e-05,0.183074583,0.8140511
"103",2919009,"Lajedinho",846.728,63633,16821,392,320,13173,1.3593,325,49,15620,3735,31072.97118,28.74825403,53495.94116,0.366986854,0.000339531,0.367326385,0.631813001
"104",2919058,"Lajedo do Tabocal",382.937,69708,8142,1302,1239,3199,0.726837,5351,131,10325,8591,10325.10189,NA,27823.67549,0.269637582,0,0.269637582,0.726608674
"105",2919306,"Lençóis",1283.328,129237,11328,606,399,20323,1.3834,5167,85,4726,11586,110878.0396,11910.5605,5372.193682,0.863976918,0.092808724,0.956785641,0.041860871
"106",2919504,"Livramento de Nossa Senhora",1952.51,504589,11034,9215,8012,37149,1.65297,4288,143,35696,46372,79858.99828,3838.615989,110850.1283,0.409003624,0.019659749,0.428663373,0.567726933
"107",2919959,"Maetinga",614.834,46349,14663,873,659,23753,3.34428,328,121,7999,2386,33204.31734,9.95325744,28200.01326,0.540056125,0.000161886,0.540218012,0.458662943
"108",2920304,"Malhada de Pedras",550.55,67223,8009,2131,1737,19190,3.02137,1933,125,15959,8326,14723.88324,NA,40262.59779,0.267446103,0,0.267446103,0.731333895
"109",2920403,"Manoel Vitorino",2201.764,144279,10897,3526,3184,53057,2.09144,2900,337,54579,12944,101865.9023,104.5646319,116748.8834,0.462652497,0.00047491,0.463127406,0.53024772
"110",2920502,"Maracás",2413.27,445096,21364,5119,4524,27083,0.976281,2760,318,52815,19973,110509.9017,297.3253408,128343.6407,0.457934009,0.001232065,0.459166074,0.531833953
"111",2920601,"Maragogipe",437.61,323347,7237,282,109,5587,1.1136,15985,335,5880,44902,16992.69963,190.9211229,22695.38332,0.388306182,0.004362806,0.392668988,0.518620222
"112",2920700,"Maraú",848.885,250045,12156,764,472,12161,1.24277,1802,19,3467,20664,56147.49158,5851.829768,16935.51975,0.661987106,0.068993926,0.730981031,0.199672245
"113",2920809,"Marcionílio Souza",1099.283,80646,7750,2133,2044,4093,0.324362,946,48,46097,10357,34959.03211,132.4714601,74378.39287,0.318008006,0.001205039,0.319213045,0.676589797
"114",2921302,"Milagres",420.358,109631,10012,304,185,7656,1.58818,222,200,5598,27413,14146.80612,37.85138052,27158.038,0.336556074,0.000900494,0.337456568,0.646096552
"115",2921302,"Milagres",420.358,109631,10012,304,185,7656,1.58818,222,200,5598,10838,14146.80612,37.85138052,27158.038,0.336556074,0.000900494,0.337456568,0.646096552
"116",2921450,"Mirante",1172.86,63565,7356,2529,1889,38633,2.85739,1808,494,17186,8264,45936.93851,22.46340216,70935.32568,0.391667097,0.000191527,0.391858624,0.604808113
"117",2921906,"Mucugê",2462.153,438306,48368,1680,1213,25736,0.91087,789634,224,7415,8725,117221.166,70332.60226,57149.22097,0.476097859,0.28565832,0.761756179,0.232113556
"118",2922201,"Muniz Ferreira",104.54,55271,7447,820,491,2531,2.11034,1481,27,9233,7464,1806.313361,NA,8635.114398,0.172785712,0,0.172785712,0.826005288
"119",2922300,"Muritiba",86.311,271855,9247,428,258,949,0.959866,5560,52,4346,29420,655.7439104,NA,7716.083398,0.075986193,0,0.075986193,0.894123132
"120",2922409,"Mutuípe",275.854,353059,15889,575,240,4606,1.45354,292,161,12051,22340,7461.999178,NA,20044.82779,0.270492793,0,0.270492793,0.726612444
"121",2922508,"Nazaré",278.629,274043,9607,199,88,9849,3.08165,4740,420,9038,3772,11207.71717,63.1078897,16212.1601,0.402241401,0.002264922,0.404506323,0.581849264
"122",2922508,"Nazaré",278.629,274043,9607,199,88,9849,3.08165,4740,420,9038,28661,11207.71717,63.1078897,16212.1601,0.402241401,0.002264922,0.404506323,0.581849264
"123",2922607,"Nilo Peçanha",388.936,139941,9998,38,9,5813,1.29942,321,562,379,14156,29802.45965,1480.407905,6958.401333,0.767360582,0.038117883,0.805478465,0.179166517
"124",2922706,"Nova Canaã",804.617,138629,8421,23455,22847,16049,1.72504,2438,40,63082,16482,19060.74563,NA,61306.31254,0.236897536,0,0.236897536,0.761948913
"125",2922755,"Nova Ibiá",203.198,84456,12814,291,239,4626,1.97772,263,NA,2014,6518,12220.29765,NA,8074.608468,0.601381939,0,0.601381939,0.397365419
"126",2922805,"Nova Itarana",475.381,56258,6839,633,438,4189,0.767928,556,104,10186,8328,11326.08092,7.411129785,35852.15811,0.238253514,0.000155899,0.238409413,0.754179908
